Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,100,India,217,Togo,5910,Export Quantity,15,Wheat,2020,2020,tonnes,4,Im,FAO data based on imputation methodology
TM,Detailed trade matrix,100,India,220,Trinidad and Tobago,5910,Export Quantity,15,Wheat,2018,2018,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,223,Turkey,5610,Import Quantity,15,Wheat,2019,2019,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,223,Turkey,5610,Import Quantity,15,Wheat,2020,2020,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,226,Uganda,5910,Export Quantity,15,Wheat,2016,2016,tonnes,229,,Official data
TM,Detailed trade matrix,100,India,226,Uganda,5910,Export Quantity,15,Wheat,2017,2017,tonnes,446,,Official data
TM,Detailed trade matrix,100,India,226,Uganda,5910,Export Quantity,15,Wheat,2018,2018,tonnes,409,,Official data
TM,Detailed trade matrix,100,India,226,Uganda,5910,Export Quantity,15,Wheat,2019,2019,tonnes,364,,Official data
TM,Detailed trade matrix,100,India,226,Uganda,5910,Export Quantity,15,Wheat,2020,2020,tonnes,718,,Official data
TM,Detailed trade matrix,100,India,230,Ukraine,5610,Import Quantity,15,Wheat,2016,2016,tonnes,1067158,,Official data
TM,Detailed trade matrix,100,India,230,Ukraine,5610,Import Quantity,15,Wheat,2017,2017,tonnes,2453440,,Official data
TM,Detailed trade matrix,100,India,225,United Arab Emirates,5910,Export Quantity,15,Wheat,2016,2016,tonnes,26849,,Official data
TM,Detailed trade matrix,100,India,225,United Arab Emirates,5910,Export Quantity,15,Wheat,2017,2017,tonnes,7731,,Official data
TM,Detailed trade matrix,100,India,225,United Arab Emirates,5910,Export Quantity,15,Wheat,2018,2018,tonnes,5567,,Official data
TM,Detailed trade matrix,100,India,225,United Arab Emirates,5910,Export Quantity,15,Wheat,2019,2019,tonnes,8797,,Official data
TM,Detailed trade matrix,100,India,225,United Arab Emirates,5910,Export Quantity,15,Wheat,2020,2020,tonnes,83490,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5610,Import Quantity,15,Wheat,2018,2018,tonnes,744,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5610,Import Quantity,15,Wheat,2019,2019,tonnes,25,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5610,Import Quantity,15,Wheat,2020,2020,tonnes,15,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5910,Export Quantity,15,Wheat,2016,2016,tonnes,3645,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5910,Export Quantity,15,Wheat,2017,2017,tonnes,2390,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5910,Export Quantity,15,Wheat,2018,2018,tonnes,2218,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5910,Export Quantity,15,Wheat,2019,2019,tonnes,125,,Official data
TM,Detailed trade matrix,100,India,229,United Kingdom of Great Britain and Northern Ireland,5910,Export Quantity,15,Wheat,2020,2020,tonnes,101,,Official data
TM,Detailed trade matrix,100,India,215,United Republic of Tanzania,5910,Export Quantity,15,Wheat,2016,2016,tonnes,26,,Official data
TM,Detailed trade matrix,100,India,215,United Republic of Tanzania,5910,Export Quantity,15,Wheat,2017,2017,tonnes,26,,Official data
TM,Detailed trade matrix,100,India,215,United Republic of Tanzania,5910,Export Quantity,15,Wheat,2018,2018,tonnes,25,,Official data
TM,Detailed trade matrix,100,India,215,United Republic of Tanzania,5910,Export Quantity,15,Wheat,2019,2019,tonnes,13,,Official data
TM,Detailed trade matrix,100,India,215,United Republic of Tanzania,5910,Export Quantity,15,Wheat,2020,2020,tonnes,45,,Official data
TM,Detailed trade matrix,100,India,231,United States of America,5910,Export Quantity,15,Wheat,2016,2016,tonnes,4,,Official data
TM,Detailed trade matrix,100,India,231,United States of America,5910,Export Quantity,15,Wheat,2017,2017,tonnes,3,,Official data
TM,Detailed trade matrix,100,India,231,United States of America,5910,Export Quantity,15,Wheat,2018,2018,tonnes,19,,Official data
TM,Detailed trade matrix,100,India,231,United States of America,5910,Export Quantity,15,Wheat,2019,2019,tonnes,48,,Official data
TM,Detailed trade matrix,100,India,231,United States of America,5910,Export Quantity,15,Wheat,2020,2020,tonnes,54,,Official data
